name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Danza Kuduro,Lucenzo,Don Omar,spotify:track:1Ozm60BmF5AUjqVSb9FJRC,2011,0,False,199333,0.696,0.896,0,-6.049,1,0.109,0.0834,0.0,0.038,0.887,130.091
She Makes Me Go - Radio Edit,Arash,Sean Paul,spotify:track:1a5XzsdDDWR7HMwvmXtNlB,2013,0,False,178280,0.705,0.897,2,-2.988,0,0.035,0.0783,3.24e-06,0.202,0.534,133.013
Problem,Ariana Grande,Iggy Azalea,spotify:track:6xCNYRfzZtoQRo1xruPmNq,2014,0,False,193920,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009
Applause,Lady Gaga,,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,2013,0,False,212333,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945
Sweet Nothing (feat. Florence Welch),Calvin Harris,Florence Welch,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,2012,70,False,212560,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934
Locked out of Heaven,Bruno Mars,,spotify:track:3w3y8KPTfNeOKPiqUTakBh,2012,80,False,233478,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,Sia,spotify:track:1SgdUjvppHnIp6L7DZSnwc,2012,66,False,222500,0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973
I Love It (feat. Charli XCX),Icona Pop,Charli XCX,spotify:track:1rhXXcrYp9RRObN5gsmqCU,2013,54,True,157153,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916
Troublemaker (feat. Flo Rida),Olly Murs,Flo Rida,spotify:track:3raIDwS1IWxjBq48cE4E8h,2012,5,False,185587,0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008
Gangnam Style,PSY,,spotify:track:1PKnaWkakd5CBjNv8NyaSK,2012,0,False,219493,0.725,0.937,11,-2.881,0,0.278,0.00425,0.0,0.0914,0.758,132.084
