danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,spotify:track:1gihuPhrLraKYrJMAEONyc,206413
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,257840
0.801,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.296,0.722,127.99,spotify:track:4W9KBjqf2lyUF6MdX0vsJm,166933
0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,spotify:track:0nJW01T7XtvILxQgC5J7Wh,213827
0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03,spotify:track:2Qu4snHWjiF1bIIggf3R8i,230747
0.722,0.844,10,-5.015,1,0.16,0.0138,0.0,0.166,0.563,125.038,spotify:track:6hp3KubrbcERP2g8ude9jR,203820
0.376,0.696,0,-4.785,0,0.0949,0.141,0.0,0.11,0.303,169.515,spotify:track:5yVIlYEHZxQVLyInCdldoS,209440
0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,spotify:track:5la4dy8Tc1M6X6BanOHZ2H,258750
0.514,0.828,11,-4.672,0,0.0454,0.00626,8.73e-06,0.119,0.34,124.008,spotify:track:0ZAqidNny4qh1RwM6LjOir,206373
0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,spotify:track:4bT2zLVv2T4GiK9q9KtI0v,217347
0.672,0.889,11,-3.902,0,0.224,0.167,0.0,0.314,0.479,87.47,spotify:track:1Mx97utPpQdM4shyKXLfDp,203547
0.612,0.934,5,-4.767,0,0.0417,0.0197,0.0,0.12,0.391,129.941,spotify:track:3PMlBjVjaNHytufQltTaZr,280961
0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,197320
0.7,0.829,0,-5.418,1,0.202,0.0823,0.0,0.323,0.892,90.048,spotify:track:3AzVdNe7tCYbjjRzQyVLbN,238560
0.544,0.923,6,-5.594,1,0.219,0.0159,0.0,0.336,0.779,128.326,spotify:track:2JQkq0krSQHMIiLURIum2j,191007
0.487,0.737,4,-4.629,0,0.0513,0.0762,1.12e-06,0.0602,0.404,128.054,spotify:track:2sBWCCylFvS2wEIaW4NTv8,221280
0.697,0.807,6,-3.049,0,0.0587,0.0382,0.0,0.471,0.732,127.01,spotify:track:5Ue25r0VGvZR7vaw3iB0gZ,216440
0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967,spotify:track:0BOKPwDkzLW9cmdgPhaXiF,179789
0.543,0.676,1,-6.431,1,0.053,0.185,0.0,0.301,0.166,143.887,spotify:track:3CT1nhEnqol4rHIdwD7Rr7,228053
0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,spotify:track:0pJV5fExkPQosiiDp4OvUj,182657
0.642,0.784,11,-5.286,0,0.032,0.0271,3.03e-05,0.308,0.877,128.004,spotify:track:0IpiiTfaDSiqpYg9MlBxw4,162000
0.762,0.737,9,-3.904,1,0.167,0.038,0.0,0.063,0.76,130.016,spotify:track:6XcUVZGPkR1rPMkXQz5bBk,171874
0.704,0.811,4,-3.011,0,0.0438,0.00743,0.0,0.27,0.795,128.002,spotify:track:6DCFfWMAUH6hfQiGQ44OPe,221387
0.673,0.831,8,-5.178,1,0.0347,0.123,0.0,0.209,0.534,121.0,spotify:track:2toXFMUY2drm8KRillUHpA,232320
0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,spotify:track:6VRhkROS2SZHGlp0pxndbJ,215253
0.692,0.712,9,-5.716,0,0.0483,0.0251,0.0,0.0716,0.503,127.981,spotify:track:22W1OZtniQZgKQa3wnqZje,277799
0.653,0.545,6,-8.274,1,0.0475,0.0846,0.000265,0.155,0.465,128.968,spotify:track:6npdnHdsDdRs9wZPMV8kaB,211027
0.523,0.78,8,-3.378,1,0.0748,0.0376,0.0,0.0751,0.187,128.003,spotify:track:0VGrgE7GbWaINRnh1bR4k9,271427
0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,spotify:track:4lAdOkj9Pj1952EYIKZmxg,214333
0.597,0.719,3,-7.272,1,0.0601,0.00504,0.153,0.0677,0.254,125.972,spotify:track:3H2Fi9vc0vY61drCvFBa23,355545
