name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,words_lyrics
Starships,Nicki Minaj,,spotify:track:2EBCVPNAG46nbgs6jXPGvv,2012,74,True,210627,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,"['ima', 'one', 'found', 'onika', 'give', 'ggg', 'leave', 'cant', 'spend', 'own', 'floor', 'name', 'sight', 'blow', 'on', 'up', 'tip', 'stand', 'last', 'fly', 'hooptyhooptyhoop', 'hard', 'hear', 'rent', 'uh', 'dancehall', 'were', 'call', 'like', 'money', 'end', 'sky', 'life', 'ray', 'light', 'hand', 'twinkle', 'nicki', 'fuck', 'come', 'go', 'three', 'love', 'everybody', 'get', 'stop', 'motherfucka', 'more', 'good', 'payday', 'there', 'ohoh', 'g', 'high', 'til', 'beach', 'today', 'bad', 'bitch', 'redone', 'shit', 'little', 'month', 'me', 'im', 'clink', 'drink', 'meant', 'say', 'wave', 'yes', 'higher', 'time', 'owe', 'chance', 'aint', 'payin', 'touch', 'zone', 'star', 'dance', 'starship', 'jump', 'two', 'bud', 'gonna', 'patrón', 'cause', 'want', 'let']"
We Found Love,Rihanna,Calvin Harris,spotify:track:1gYMxXXGANfGIGXDFf9Czv,2011,0,False,215227,0.75,0.756,1,-4.45,1,0.0426,0.0187,0.00125,0.196,0.6,127.992,"['were', 'shadow', 'like', 'almost', 'mind', 'one', 'ive', 'found', 'ashamed', 'life', 'deny', 'them', 'could', 'standing', 'nothing', 'alive', 'mine', 'back', 'cant', 'door', 'without', 'side', 'take', 'heartbeat', 'light', 'stuff', 'bad', 'feel', 'turn', 'diamond', 'gone', 'yellow', 'wish', 'away', 'need', 'cause', 'come', 'go', 'place', 'cross', 'way', 'hopeless', 'hurt', 'understand', 'important', 'love', 'save', 'divide', 'im', 'feeling', 'open', 'hear', 'screaming', 'ever', 'someone', 'much', 'let', 'gotta', 'shine', 'good']"
Pompeii,Bastille,,spotify:track:0sooJd5WbNnnz5k6yO7FIQ,2013,0,False,214148,0.682,0.714,9,-6.306,1,0.0399,0.074,0.0,0.278,0.581,127.443,"['rubble', 'like', 'almost', 'begin', 'many', 'optimist', 'eye', 'bringing', 'nothing', 'before', 'sin', 'hill', 'eh', 'grey', 'all', 'feel', 'wall', 'darkness', 'city', 'settled', 'day', 'device', 'fell', 'left', 'this', 'around', 'show', 'roll', 'going', 'lost', 'vice', 'close', 'oh', 'changed', 'u', 'love', 'eheu', 'caught', 'kept', 'dust', 'tumbling', 'cloud', 'pose', 'away']"
Die Young,Kesha,,spotify:track:6mnjcTmK8TewHfyOp3fC9C,2012,4,False,211920,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,"['were', 'magic', 'nobody', 'ill', 'kiss', 'makin', 'like', 'gimme', 'mind', 'gettin', 'wild', 'obvious', 'life', 'time', 'child', 'lookin', 'shot', 'drum', 'til', 'touch', 'punk', 'who', 'side', 'take', 'got', 'takin', 'sho', 'trouble', 'tearin', 'dirty', 'hand', 'uhhuh', 'dancin', 'beat', 'care', 'sock', 'blush', 'well', 'gonna', 'show', 'up', 'pant', 'arm', 'hot', 'night', 'fo', 'keep', 'know', 'die', 'oh', 'runnin', 'came', 'last', 'me', 'hear', 'hard', 'you', 'tonight', 'pretty', 'someone', 'let', 'outta', 'shame', 'make', 'young', 'strippin', 'watchin', 'music', 'crush', 'livin', 'heart', 'good', 'yeah']"
Hymn,Kesha,,spotify:track:0wJJhRgdHhT93Z3iWdMB0T,2017,0,True,205600,0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.037,"['even', 'dreamer', 'kid', 'hymnless', 'left', 'on', 'backseat', 'wake', 'ride', 'stand', 'hear', 'pretty', 'sorry', 'livin', 'yeah', 'were', 'like', 'stardust', 'moon', 'nothing', 'smile', 'outer', 'quite', 'truth', 'reckless', 'space', 'made', 'need', 'well', 'mean', 'front', 'go', 'hyundai', 'way', 'talking', 'see', 'weve', 'shine', 'get', 'run', 'pull', 'there', 'cruise', 'rest', 'singing', 'sinning', 'live', 'high', 'hymn', 'shit', 'highway', 'forgiveness', 'know', 'die', 'fuckin', 'im', 'valet', 'starstruck', 'mistake', 'searchin', 'say', 'though', 'wild', 'religion', 'star', 'care', 'crown', 'cause', 'news', 'keep', 'heaven', 'flying', 'u', 'lose', 'read', 'no', 'blame', 'let', 'team', 'fucked', 'salute', 'perfect']"
Burn,Ellie Goulding,,spotify:track:2GgxS8bUT5G25QJTsfSv0R,2014,69,False,231212,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,"['were', 'they', 'there', 'loco', 'sleeping', 'shining', 'like', 'down', 'one', 'match', 'waking', 'getting', 'sky', 'something', 'heard', 'put', 'we', 'nothing', 'now', 'til', 'leave', 'cant', 'outer', 'strike', 'got', 'human', 'light', 'floor', 'ooh', 'star', 'hand', 'hell', 'start', 'out', 'play', 'giving', 'raising', 'space', 'on', 'well', 'gonna', 'fire', 'up', 'acting', 'cause', 'race', 'ririright', 'know', 'u', 'everybodys', 'wanna', 'bout', 'love', 'burning', 'burn', 'im', 'no', 'loud', 'see', 'let', 'world', 'right', 'crazy', 'music', 'worry', 'turned', 'yeah']"
Animals - Extended,Martin Garrix,,spotify:track:28GieRAflAHypFfEimSaxa,2013,0,False,303827,0.673,0.853,1,-6.451,1,0.038,0.00171,0.724,0.39,0.0382,128.015,"['were', 'animal', 'fuckin']"
Safe And Sound,Capital Cities,,spotify:track:6BnONjR7itGMEqwxKTIlRM,2013,0,False,192790,0.653,0.822,0,-4.857,1,0.033,0.00021,0.0047,0.0838,0.762,117.949,"['were', 'fill', 'six', 'underground', 'sky', 'even', 'sound', 'could', 'safe', 'standing', 'luck', 'river', 'cup', 'tidal', 'take', 'evaporate', 'falling', 'still', 'ground', 'next', 'hold', 'well', 'show', 'appreciate', 'mystery', 'lift', 'know', 'hurricane', 'wanna', 'love', 'frown', 'foot', 'see', 'world', 'wave']"
Levels - Radio Edit,Avicii,,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,2011,1,False,199904,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,"['never', 'feeling', 'sometimes', 'get', 'oh', 'before', 'good', 'yeah']"
Titanium (feat. Sia),David Guetta,Sia,spotify:track:0TDLuuLlV54CkRRUOahJb4,2012,77,False,245040,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,"['firing', 'bulletproof', 'ricochet', 'down', 'one', 'cut', 'titanium', 'shout', 'voice', 'ghost', 'bone', 'gun', 'nothing', 'saying', 'may', 'break', 'machine', 'cant', 'bullet', 'take', 'haunted', 'fall', 'proof', 'raise', 'stone', 'wholl', 'fire', 'stick', 'word', 'rise', 'shoot', 'lose', 'love', 'aim', 'glass', 'im', 'talking', 'loud', 'hear', 'hard', 'much', 'get', 'criticized', 'say', 'away', 'town']"
