name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,words_lyrics
Iconic,Moonbootica,,spotify:track:7Ki042RCrkOxG9boiMPwIg,2012,12,False,313618,0.62,0.777,9,-5.674,0,0.238,0.000714,0.00882,0.147,0.6,126.986,
I Follow Rivers - The Magician Remix,Lykke Li,The Magician,spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,2011,71,False,280070,0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,"['dark', 'wading', 'ohoh', 'always', 'wild', 'high', 'water', 'river', 'daughter', 'running', 'beg', 'doom', 'message', 'baby', 'honey', 'rebel', 'follow', 'oh', 'ask', 'unravel', 'ohohoh', 'im', 'i', 'you', 'ocean', 'waiting', 'runner', 'sea', 'run', 'deep']"
Spectrum,Zedd,Matthew Koma,spotify:track:6ii7kTrjostB8G21X9S6P0,2012,0,False,243413,0.611,0.785,0,-4.432,0,0.0346,0.0127,0.00325,0.125,0.414,129.972,"['opening', 'like', 'one', 'chase', 'sky', 'longer', 'drama', 'never', 'dream', 'light', 'stolen', 'wearing', 'broken', 'truth', 'doubt', 'well', 'quiet', 'blind', 'go', 'want', 'u', 'love', 'save', 'hide', 'finding', 'let', 'inside', 'key', 'run', 'heart', 'lying', 'hope', 'breathing']"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,,spotify:track:7ks6AZmFcm3Y6PGGxGSmlB,2012,71,True,194840,0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884,"['one', 'begin', 'many', 'peabo', 'thats', 'it', 'cant', 'never', 'pppause', 'rush', 'ten', 'boy', 'kid', 'looking', 'louie', 'start', 'nail', 'woman', 'blow', 'here', 'suck', 'rule', 'hotties', 'club', 'free', 'reach', 'wanna', 'invited', 'hey', 'aaabort', 'daday', 'yo', 'said', 'uh', 'whatever', 'like', 'holla', 'dude', 'them', 'handle', 'who', 'lily', 'bryson', 'whistle', 'chanel', 'tell', 'bar', 'day', 'bring', 'renewed', 'fuck', 'hairdo', 'go', 'home', 'street', 'love', 'buzzed', 'see', 'get', 'bff', 'ago', 'peebe', 'at', 'good', 'london', 'nobody', 'anyway', 'tryin', 'wallet', 'girl', 'pick', 'got', 'thinking', 'shit', 'baby', 'explicit', 'president', 'endorse', 'paparazzo', 'tackle', 'coming', 'bout', 'me', 'im', 'license', 'dat', 'say', 'year', 'shorty', 'time', 'football', 'aint', 'back', 'ballsack', 'whyd', 'dick', 'swear', 'two', 'friend', 'verse', 'cause', 'ball', 'saw', 'really', 'no', 'much', 'outta', 'body', 'hmm', 'that', 'jumpin', 'tryna', 'party']"
Fiesta - Michael Mind Project Radio Edit,Carlprit,Michael Mind Project,spotify:track:0vgWM2lDIYxbEpr8jklmph,2012,44,False,234429,0.597,0.922,6,-5.69,1,0.149,0.0179,0.0,0.364,0.726,127.844,"['one', 'told', 'thats', 'floor', 'looking', 'step', 'siempre', 'on', 'beatin', 'wake', 'club', 're', 'oh', 'ask', 'welcome', 'wanna', 'last', 'summer', 'carl', 'livin', 'were', 'call', 'like', 'end', 'life', 'working', 'sex', 'somebody', 'hottest', 'chick', 'well', 'fiesta', 'come', 'go', 'way', 'tomorrow', 'curl', 'i', 'tonight', 'forever', 'see', 'get', 'right', 'every', 'vega', 'herb', 'everyone', 'rest', 'model', 'heated', 'sexy', 'girl', 'shory', 'special', 'baby', 'beat', 'sweat', 'know', 'die', 'ibiza', 'me', 'im', 'tail', 'crazy', 'year', 'rio', 'shaking', 'put', 'giza', 'touch', 'dance', 'swear', 'beyonce', 'care', 'miami', 'gonna', 'fire', 'cause', 'night', 'want', 'man', 'plan', 'change', 'making', 'let', 'world', 'body', 'party']"
To the People - DJ Antoine vs Mad Mark 2K13 Radio Edit,DJ Antoine,fii,spotify:track:2iHuZ0i6Tv4JrADOK6Wjkz,2013,3,False,197059,0.77,0.817,8,-5.485,1,0.0589,0.0472,0.0,0.272,0.961,122.017,"['handy', 'whitekillins', 'sharon', 'tx', 'cahill', 'camidroel', 'oliver', 'watkins', 'dewar', 'stinson', 'schimeka', 'angelina', 'selfe', 'sadiq', 'carmichael', 'ne', 'mn', 'poland', 'christina', 'johannesburg', 'mi', 'height', 'lauryn', 'hyattsville', 'university', 'yakima', 'virginia', 'production', 'lynch', 'verlinda', 'prosa', 'needham', 'aurora', 'marcello', 'richardson', 'co', 'lanary', 'detroit', 'hickman', 'croatia', 'mackey', 'lavonia', 'sacramento', 'north', 'oh', 'houston', 'burleson', '‘mel’', 'senece', 'nyc', 'woking', 'emenjville', 'continued', 'duluth', 'tamara', 'store', 'hear', 'cousin', 'barnigat', 'nadia', 'rodriguez', 'candice', 'arroyo', 'baldwin', 'josh', 'mallory', 'los', 'o’brien', 'irvington', 'frost', 'bleier', 'quincy', 'mitchell', 'mslaurynhill', 'sabur', 'eden', 'bronx', 'tara', '‘soulful’', 'garrard', 'juliet', 'salt', 'pattinson', 'yearwood', 'buy', 'sheila', 'decline', 'lasana', 'allah', 'mary', 'doraville', '‘kae’', 'jahleah', 'paterson', 'bridgeport', 'angela', 'joi', 'navarro', 'monica', 'sunrise', 'diane', 'san', 'marrufo', 'guidry', 'day', 'mo', 'jrdn', 'reese', 'dominique', 'maurice', 'nicki', 'nathaniel', 'calvert', 'starasia', 'swain', 'uno', 'carter', 'jean', 'cynthia', 'breaux', 'family', 'parkville', 'reading', 'bower', 'way', 'terrence', 'street', 'walthamstow', 'love', 'bartley', 'forest', 'shareen', 'sk', 'dericka', 'norbrega', 'syneeda', 'postell', 'englewood', 'crystal', 'obviously', 'orozco', 'levittown', 'lloyd', 'young', 'petersburg', 'abby', 'gatos', 'browne', 'barringten', 'wv', 'selim', 'hudson', 'veronica', 'edinburgh', 'cedar', 'brinkley', 'toni', 'broussard', 'plymouth', 'bella', 'lee', 'dyson', 'kris', 'rena', 'charrae', 'evita', 'singletary', 'rondress', 'ariel', 'dejuan', 'mstara', 'river', 'ia', 'bair', 'trammell', 'ogun', 'magwood', 'beach', 'cavaseno', 'laurynn', 'crume', 'sent', 'olivia', 'anderson', 'iii', 'mark', 'uk', 'burgaw', 'roconia', 'antoine', 'little', 'baltimore', 'tn', 'columbia', 'spring', 'rbc', 'agreement', 'k', 'jessica', 'shaunda', 'ludwig', 'lana', 'maisha', 'concord', 'victory', 'analisa', 'kiliona', 'addison', 'haddad', 'daisy', 'orange', 'laster', 'recognition', 'ireland', 'prophecy', 'prevented', 'colon', 'jade', '‘antonia', 'reina', 'carroll', 'unknown', 'caleb', 'newark', 'delgado', 'shea', 'karl', 'brown', 'b', 'aframerican', 'deborah', 'poitier', 'sander', 'pitman', 'hagan', 'judsonsaunders', 'concern', 'tonia', 'ae', 'samantha', 'jose', 'ceet', 'autry', 'seek', 'moher', 'lanham', 'taylor', 'opalocka', 'nassau', 'oazine', 'morris', 'japan', 'yah', 'laurel', 'pat', 'al', 'conshohocken', 'wa', 'blumenbergwilliams', 'henley', 'berlin', 'sundiata', 'weinhandl', 'linaeus', 'assary', 'sr', 'manassas', 'scott', 'luney', 'monroe', 'southhampton', 'hendrix', 'breedlove', 'pink', 'woerd', 'friend', 'tauheedah', 'brunswick', 'dianthia', 'don’t', 'castaneda', 'paul', 'ondrae', 'bintou', 'mcclurkin', 'naty', 'spartanburg', 'ca', 'davonne', 'bluestone', 'no', 'kirema', 'alpharetta', 'f', 'nara', 'fair', 'minister', 'state', 'bland', 'utah', 'martindavis', 'akajou', 'ramocan', 'wendy', 'canada', 'kyrstal', 'raquel', 'bruno', 'mobley', 'malik', 'tony', 'thank', 'davis', 'greg', 'texas', 'stacy', 'allen', 'congofrance', 'strange', 'many', 'price', 'kent', 'shawntavia', 'rachel', 'kara', 'smith', 'lewis', 'sydney', 'jackson', 'tonja', 'it', 'st', 'keith', 'nv', 'tiffany', 'garrett', 'ab', 'ballard', 'estonia', 'sha’rita', 'forte’', 'kochowicz', 'mr', 'philadelphia', 'selassieaird', 'r', 'pueblo', 'on', 'manley', 'souljah', 'encouraged', 'touched', 'bettencourt', 'vanessa', 'wright', 'naoisha', 'temple', 'dewayne', 'dc', 'oak', 'shelondra', 'support', 'steven', 'tammi', 'emmanuel', 'hewong', 'carbon', 'mayah', 'almic’', 'smyrna', 'tuh', 'gainsville', 'shepherdess', 'please', 'caroline', 'tannersville', 'aunt', 'fugees', 'lux', 'prophetess', 'shomari', 'mjw', 'jari', 'away', 'rafeekah', 'booker', 'alvin', 'reverend', 'fant', 'robert', 'stamford', 'abdularahim', 'weusi', 'danyea', 'swanee', 'uj', 'union', 'drawing', 'point', 'mirza', 'burke', 'sc', 'nehesi', 'hunziker', 'jeffery', 'de', 'inslee', 'mccall', 'hollywood', 'rochester', 'kone’', 'kitakatsuragigun', 'torres', 'creek', 'ct', 'ouazine', 'ga', 'nicole', 'purpose', 'park', 'yusef', 'ayanna', 'leginel', 'sil', 'forum', 'mcdaniel', 'calgary', 'jane', 'jason', 'alpine', 'marietta', '‘duce’', 'ar', 'shaconda', 'angelathe', 'financial', 'brister', 'station', 'savannah', 'bakersfield', 'maurad', 'matthew', 'karla', 'tonawanda', 'tomeka', 'john', 'shark', 'irisarri', 'marie', 'nuys', 'bluff', '‘pv’', 'pleasant', 'appreciated', 'michael', 'black', 'belleville', 'yearwoon', 'thing', 'stratford', 'erin', 'nc', 'sanford', 'phd', 'dickerson', 'princess', 'dr', 'jimmie', 'watson', 'denmark', 'henderson', 'wyatt', 'shipley', 'martin', 'thomeycroft', 'birk', 'forrest', 'book', 'justin', 'glen', 'emilienne', 'ruby', 'jasmine', 'laretta', 'renee', 'pierce', 'drax', 'wethersfield', 'washington', 'rosenita', 'rashad', 'winslow', 'jennings', 'hill', 'trey', 'quentin', 'paluzzi', 'monique', 'miriam', 'sayles', 'freedom', 'eutaw', 'denver', 'kente’', 'nwoka', 'brownrivera', 'pristell', 'abdulaziz', 'teaneck', 'kazi', 'heidi', 'farrakhan', 'essex', 'tyleshia', 'bc', 'savoy', 'footscray', 'vallejo', 'eric', '‘georgie’', 'ayana', 'alleman', 'moira', 'sheba', 'portage', 'trice', 'pierre', 'sana', 'perth', 'siewa', 'also', 'solemon', 'joseph', 'latasha', 'dorsett', 'clermont', 'm', 'scarborough', 'memphis', 'j', 'devlinbraswell', 'natasha', 'pomona', 'devon', 'mitchiner', 'tampa', 'thomas', 'bullard', '‘haru’', 'anzania', 'pabst', 'package', 'boyd', 'marissa', 'michelle', 'king', 'hartford', 'auld', 'lake', 'omaha', 'troy', 'northampton', 'redmond', 'lowe', 'lomax', 'elizabeth', 'hunter', 'chizer', 'boston', 'armas', 'barberclark', 'timothy', 'george', 'raheem', 'robertson', 'julia', 'bun', 'lyon', 'karen', 'vanetta', '‘pretty’', 'delva', 'loretta', 'bayside', 'lauren', 'publisher', 'sarah', 'handrich', 'lingaire', 'chapman', 'duncan', 'patrice', 'boose', 'flossmoor', 'reba', 'spear', 'sonia', 'ozone', 'word', 'amboy', 'ryan', 'diaz', 'jamillah', 'hatim', 'again', 'wi', 'needed', 'jeanlouis', 'eva', 'christopher', 'swartara', 'gerald', 'peavy', 'klaipeda', 'old', 'lawing', 'community', 't', 'l’oreal', 'bill', 'maricopa', 'lamousnery', 'elena', 'spc', 'halsey', 'camille', 'lakeville', '‘star’', 'hawkins', 'rock', 'georgetown', 'mcclenton', '‘twin’', 'serious', 'splash', 'hargrove', 'elder', 'elkins', 'may', 'latoya', 'aiken', 'chivonne', 'schaeffer', 'major', 'beverly', 'cherisse', 'd', 'simon', 'hakim', 'louis', 'plain', 'brantley', '‘sun', 'rapid', 'atlanta', 'riverside', 'andrea', 'o’leatha', 'cove', 'up', 'ruiz', 'oxon', 'spain', 'moore', 'tatiana', 'vt', 'polk', 'leicester', 'lia', 'haven', 'danny', 'woodley', 'gray', 'reed', 'luther', 'orleans', 'oakland', 'anna', 'ysrayl', 'brandon', 'mason', 'capistrano', 'carl', 'johnson', 'ayers', 'clarke', 'a', 'ladonna', 'letter', 'soyini', 'like', 'locka', 'langley', 'ont', 'angeles', 'laois', 'nikia', 'following', 'raleigh', 'charleston', 'atkinson', 'worth', 'colbert', 'angel', 'orchard', 'nakia', 'kamali', 'cranston', 'bank', 'ebony', 'panic', 'corcoran', 'kierra', 'audrey', 'cleveland', 'trotwood', 'vernon', 'robinson', 'oroville', 'room', 'lunsford', 'remond', 'az', 'jermaine', 'stone', 'sheronah', 'pa', 'west', 'toronto', 'tyrel', 'clara', '‘euphrates’', 'landover', 'carletta', 'dewane', 'daria', 'torwalt', 'brownington', 'dasher', 'jeremy', 'toulouse', 'iowa', 'perdu’', 'elmwood', 'home', 'roxbury', 'russell', 'thwaites', 'shavaughn', 'mountain', 'salcedo', 'sloan', 'keka', 'melanie', 'aguilar', 'scotch', 'already', 'atiya', 'van', 'nj', 'destini', 'brian', 'theresa', 'sabela', 'cruz', 'l', 'in', 'bell', 'c', 'seaside', 'toyia', 'by', 'mcdonough', 'phillip', 'fl', 'newnan', 'always', 'te', 'destiny', 'god', 'der', 'people', 'poe', 'wagram', 'ralph', 'opa', 'with', 'lambert', 'ossining', 'rutherford', 'austin', 'ky', 'patrick', 'willis', 'jones', 'keene', 'alston', 'dunwoody', 'roslindale', 'elkgrove', 'lakeland', 'east', 'picked', 'ruth', 'box', 'malone', 'columbus', 'germany', 'pollard', 'jordan', 'sinclair', 'lexington', 'mcpherson', 'brownsville', 'know', '‘maty’', 'blackman', 'williams', 'green', 'brenda', 'lauderhill', 'maarten', 'njie', 'strong', 'mikel', 'mercedes', 'debbie', 'emeryville', 'nene', 'natchitoches', 'bethel', 'dawson', 'mcclendon', 'strive', 'sincere', 'noguchi', 'spiritual', 'wanda', 'duncansmith', 'aka', 'santa', 'bartlett', 'douglas', 'richton', 'gayles', 'benton', 'dent', 'online', 'private', 'martinsville', 'lopez', 'anthony', 'donelle', 'bonilla', 'jazmine', 'wood', 'preston', 'france', 'darlene', 'yvonne', 'turner', 'josey', '‘sonny’', 'eire', 'andre', 'swan', 'steve', 'shippensburg', 'humboldt', 'willimas', 'falesbork', 'wheaton', 'yolanda', 'barnegat', 'johnnie', 'fruit', 'salisbury', 'lucas', 'etp', 'miami', '‘hak’', 'sylmar', 'galicia', 'barrera', 'pine', 'wilson', 'masso', 'gonzalez', 'hall', 'briauna', 'massobible', 'fresno', 'field', 'want', 'lamor', 'amanda', 'rosi', 'kelli', 'laughlin', 'cincinnati', 'mathilde', 'mamie', 'lisa', 'scotland', 'galloway', 'barbara', 'ian', 'duncanville', 'ainslee', 'sekouhouse', 'bowling', 'lyle', 'firstly', 'madison', 'scranton', 'darrel', 'marcus', 'logical', 'apostle', 'o’neil', 'bookstore', 'bromell', 'blossom', 'expression', 'one', 'hamden', 'renton', 'il', 'llc', 'kim', 'gilchrist', 'confirm', 'durham', 'claudia', 'alexis', 'apo', 'simae', 'palm', 'jenkins', 'shukriyyah', '40’', 'curry', 'grace', 'leon', 'erica', 'haakeem', 'beautiful', 'joe', 'wrote', 'netherlands', 'lfl', 'yvette', 'mcguire', 'nick', 'harris', 'riverpinket', 'measure', 'baraka', 'petra', 'gethers', 'jack', 'ansonia', 'jahi', 'cookeville', 'england', 'akahloun', 'nerdy', 'tywanda', 'canton', 'universal', 'chester', 'patron', 'cerise', 'friendswood', 'jerald', 'temel', 'mcnair', 'sebastopol', 'autumn', 'lawson', 'juliana', 'tom', 'empress', 'muhammad', 'receive', 'nickerson', 'tershema', 'encouragement', 'frank', 'jezebel', 'vic', 'n', 'bessie', 'niamh', 'suzette', 'md', 'colleen', 'sherman', 'ilford', 'poetry', 'akins', 'tina', '‘cleopatra’', 'p', 'kawanna', 'ridgle', 'juan', 'dover', 'york', 'betancourt', 'mt', 'e', 'stephanie', 'africa', 'plano', 'south', 'mcfarland', 'burnard', 'paris', 'foley', 'latrice', 'mike', 'gomez', 'dylan', 'solomon', 'corona', 'jerroid', 'chicago', 'light', 'knew', 's', 'barnes', 'chris', 'hagins', 'and', 'dorrian', 'charlotte', 'sister', 'mitchellcarthage', 'trish', 'epps', 'jakia', 'kissimmee', 'hogan', 'erie', 'paula', '5', 'james', 'diggs', 'tajh', 'ritchie', 'indian', 'salahuddin', 'stroudsburg', 'stockton', 'darrick', 'orlando', 'naperville', 'divyne’', 'group', 'gf', 'terryl', 'kannapolis', 'regensburg', '‘shrimp', 'ongottaud', 'daniel', 'tammy', 'va', 'caprice', 'annclarke', 'irvens', 'surrey', 'folk', 'tellinn', 'amelia', 'derek', 'london', 'izetta', 'hannah', 'vega', 'castaner', 'dicostanzo', 'joshua', 'luke', 'tannika', 'everyone', 'pate', 'bria', 'kristen', 'g', 'dickson', 'correction', 'caribbean', 'penland', 'halman', 'social', 'miller', 'writing', 'jr', 'burlington', 'patrickthe', 'harrelson', 'ny', 'tucker', 'dornhogan', 'shawn', 'mississauga', 'reid', 'greensborough', 'limerick', 'tadjiae', 'bristol', 'prayer', 'mosley', 'joyce', 'city', 'jammeh', 'jolie', 'danielle', 'ma', 'inez', 'hawthorne', 'dacula', 'victoria', 'wixon', 'grant', 'simpson', 'shepherd', 'nadisha', 'khalilah', 'hughes', 'teresa', 'michel', 'rioja', 'ri', 'nubia', 'brittany', 'lafayette', 'garden', 'succumbing', 'kalee', 'gabrilla', 'orangeburg', 'roselle', 'logan', 'mama', 'brooklyn', 'roscoe', 'watkin', 'calumet', 'david', 'lithonia', 'australia', 'bridge', 'stephen', 'lance', 'odinga', 'astoria', 'nazarene', 'raynor', 'cheshire', 'monita', 'wilda', 'mail', 'benjamin', 'jaleesa', 'eye', 'desoto', 'takeyah', 'back', 'monesha', 'issa', 'dunlop', 'eze', 'casonya', 'grand', 'okenzie', 'blake', 'mikell', 'would', 'danell', 'curran', '‘drae', 'pittman', 'brooker', 'new', 'ft', 'sandy', 'fairlawn', 'rashaan', 'walk', 'rose', 'abdulsamad', 'whitehouse', 'knox', 'latisia', 'place', 'chelsea', 'leile', 'sarai', 'bahamas', 'myers', 'ana', 'deshaires', 'aldridge', 'bladensburg', 'brittani', 'la', 'piper', 'dj', 'quddus', 'that', 'charles', 'team', 'walker', 'garza', 'manmade', 'mcgugan', 'hope', 'ministry']"
The Way We Are - feat. Manu-L [DJ Antoine vs. Mad Mark Radio Edit],Remady,,spotify:track:5BLauLE8ZAVHEWTRwjHpXN,2012,0,False,187801,0.655,0.719,9,-6.012,0,0.0397,0.147,0.0,0.0928,0.513,128.051,"['like', 'always', 'life', 'kwon', 'never', 'take', 'still', 'best', 'believe', 'superstar', 'day', 'closer', 'little', 'need', 'gonna', 'way', 'know', 'move', 'loud', 'goodbye', 'look', 'say']"
Party Crash (Video Edit),Modana,Carlprit,spotify:track:7FWWC9hksKDRw0AmlYpBt5,2013,0,False,180077,0.8,0.734,10,-5.149,0,0.119,0.0573,0.0,0.0787,0.692,128.03,"['were', 'lady', 'crash', 'blast', 'loco', 'big', 'like', 'creed', 'toones', 'call', 'cool', 'moon', 'smash', 'people', 'looney', 'give', 'head', 'noon', 'drunk', 'put', 'touch', 'til', 'party', 'bottle', 'international', 'shake', 'bitch', 'bunch', 'room', 'as', 'turn', 'craziest', 'roof', 'track', 'baby', 'kick', 'hahaa', 'up', 'jackpot', 'wake', 'cause', 'night', 'mess', 'go', 'boom', 'place', 'bed', 'want', 'know', 'till', 'tomorrow', 'wanna', 'hello', 'id', 'winning', 'fellow', 'amazing', 'im', 'drink', 'tonight', 'everybody', 'see', 'dj', 'let', 'stop', 'pas', 'make', 'crazy', 'every', 'livin', 'say', 'bash', 'yeah']"
Wake Me Up,Avicii,,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,2013,31,False,247427,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,"['stay', 'end', 'older', 'everyone', 'wiser', 'heart', 'life', 'time', 'game\ufeff', 'chance', 'could', 'eye', 'weight', 'thats', 'cant', 'dream', 'tell', 'hand', 'fine', 'start', 'guided', 'darkness', 'carrying', 'wish', 'prize', 'beating', '\ufeffi', 'two', 'well', 'made', 'afraid', 'wake', 'lost', 'journey', 'know\ufeff', 'way', 'know', 'travel', 'close', 'understand', 'love', 'feeling', 'im', 'plan', 'open', 'tried', 'caught', 'forever', 'finding', 'get', 'pas', 'world', 'young', 'say', 'hope']"
Around the World - Radio Mix,Mike Candys,Evelyn,spotify:track:1P3Rsz8hh3w3arUZVpAGY2,2012,4,False,167379,0.645,0.88,1,-4.876,0,0.251,0.0259,0.0,0.491,0.532,129.976,"['david', 'like', 'end', 'ive', 'everywhere', 'found', 'york', 'true', 'rio', 'time', 'valley', 'high', 'back', 'paris', 'moving', 'find', 'rome', 'deep', 'somebody', 'deen', 'new', 'around', 'go', 'know', 'home', 'moscow', 'ibiza', 'nowhere', 'mountain', 'you', 'tried', 'everybody', 'see', 'someone', 'stop', 'world', 'heart', 'evelyn', 'london', 'yeah']"
Get It Started (feat. Shakira),Pitbull,Shakira,spotify:track:5KIRK2Pa6w8EwDgfxB2sqd,2012,31,False,245920,0.693,0.849,1,-3.259,0,0.189,0.0668,0.0,0.69,0.599,128.971,"['drop', 'one', 'everywhere', 'worldwide', 'become', 'december', 'sixth', 'thats', 'thought', 'it', 'cant', 'never', 'sense', 'knocking', 'thrilla', 'name', 'food', 'eviction', 'mr', 'start', 'pacquiao', 'game', 'damp', 'alright', 'country', 'tom', 'you', 'square', 'anything', 'malaysia', 'like', 'big', 'sky', 'apologize', 'life', 'lifetime', 'woo', 'could', 'pitbull', 'claim', 'vanilla', 'day', 'made', 'finish', 'go', 'manila', 'three', 'became', 'land', 'stare', 'wet', 'dale', 'tonight', 'see', 'get', 'every', 'right', 'july', 'cruise', 'mind', 'ive', 'mumbai', 'baggin', 'sign', 'waste', 'rapper', 'city', 'play', 'baby', 'lit', 'went', 'know', 'im', 'flooded', 'think', 'year', 'fourth', 'voli', 'hustle', 'time', 'aint', 'eye', 'mine', 'feel', 'ali', 'believed', 'new', 'frazier', 'two', 'started', 'gonna', 'cause', 'night', 'stamp', 'news', 'ball', 'id', 'seven', 'fair', 'let', 'look', 'world', 'passport', 'make', 'work']"
Welcome to the Dancefloor - Video Edit,ItaloBrothers,,spotify:track:6ly1zQVkMzYC9PYL9g5utY,2015,0,False,171998,0.563,0.963,6,-3.55,0,0.0403,0.00154,0.0,0.0735,0.492,127.934,"['lady', 'drop', 'maybe', 'freaky', 'voice', 'live', 'moment', 'it', 'air', 'take', 'flow', 'floor', 'feel', 'dance', 'somethings', 'beat', 'bring', 'show', 'woah', 'want', 'oh', 'welcome', 'control', 'let', 'world', 'noise', 'music', 'right', 'party']"
A Night Like This - Radio Edit,Eric Chase,,spotify:track:3KreXAIkcw68QN01938oSR,2012,13,False,188077,0.68,0.871,0,-2.69,1,0.0349,0.00333,3.04e-05,0.184,0.401,129.978,"['win', 'kiss', 'like', 'drowning', 'naughty', 'from', 'sexy', 'aint', 'put', 'scene', 'girl', 'never', 'got', 'dance', 'but', 'baby', 'wish', 'this', 'need', 'show', 'night', 'going', 'another', 'twin', 'wanna', 'champagne', 'feeling', 'youre', 'see', 'morning', 'look', 'body', 'make', 'that', 'leaving', 'sweet']"
4 AM - Radio Version,Scooter,,spotify:track:4f9A306GspUxcbLxR8Tqpv,2012,26,False,196972,0.586,0.884,8,-5.73,1,0.188,0.00151,0.0,0.328,0.285,132.03,"['mc', 'oclock', 'energygygise', 'like', 'down', 'money', 'ive', 'junky', 'getting', 'rock', 'swag', 'wine', 'time', 'master', 'skibadee', 'thats', 'it', 'fucking', 'taxi', 'never', 'flagged', 'enforcer', 'diggedys', 'got', 'floor', 'light', 'feel', 'dance', 'check', 'bling', 'jam', 'day', 'skibadeegygise', 'classy', 'enterprise', 'chick', 'pour', 'lost', 'going', 'go', 'another', 'cmon', 'bass', 'paid', 'starting', 'mental', 'energy', 'compromise', 'memory', 'cigarette', 'four', 'morning', 'get', 'noise', 'raving', 'cab', 'faster', 'mic', 'yeah']"
Do It All Night - Michael Mind Radio Edit,Darius & Finlay,,spotify:track:5rKey4QfJ5B37qU8d2xS7Q,2009,0,False,220128,0.702,0.857,0,-6.031,0,0.0345,0.014,1.73e-05,0.306,0.731,130.003,"['artistsfeatured', 'line', 'yes', 'like', 'continue', 'runnïng', 'round', 'people', 'put', 'head', 'lyric', 'writing', 'girl', 'it', 'til', 'running', 'hit', 'singin', 'song', 'believe', 'sunlight', 'dancin', 'misheard', 'passed', 'baby', 'truth', 'videojared', 'video12', 'gonna', 'show', 'afraid', 'foodfeatured', 'night', 'alright', 'going', 'featured', 'come', 'want', 'way', 'know', 'leto', 'video8', 'burning', 'im', 'spinning', 'kidfeatured', 'movin', 'hilarious', 'vibe', 'make', 'body', 'right', 'compare', 'showing', 'away', 'videowhats']"
Balada - Ao Vivo,Gusttavo Lima,,spotify:track:2HHyqgKE4f1BOhJmMfkVF4,2011,0,False,201840,0.675,0.958,11,-4.208,0,0.0611,0.17,0.0,0.965,0.813,128.006,"['chega', 'fazendo', 'mulherada', 'ver', 'da', 'vip', 'com', 'apavorando', 'pro', 'rodinha', 'sempre', 'e', 'point', 'muito', 'abrir', 'mala', 'de', 'mina', 'reservada', 'melhor', 'ta', 'rola', 'quando', 'fraco', 'porta', 'gente', 'só', 'posto', 'ante', 'esquenta', 'área', 'um', 'na', 'pra', 'ficar', 'é', 'role', 'vamo', 'casa', 'suave', 'aqui', 'baldinho', 'cachaça', 'aí', 'pira', 'praça', 'sai', 'balada', 'nave']"
Can't Stop Me - Radio Edit,Afrojack,Shermanology,spotify:track:3yKB5nwr7nTdJPbng8ZXhD,2012,21,False,201279,0.44,0.83,0,-4.485,0,0.234,0.109,0.0,0.0456,0.378,129.963,"['end', 'near', 'mind', 'one', 'rock', 'even', 'noooo', 'nothing', 'break', 'alive', 'cant', '247', 'never', 'drag', 'light', 'feel', 'dance', 'should', 'carry', 'join', 'bring', 'on', 'cause', 'night', '365', 'keep', 'going', 'dawn', 'go', 'know', 'till', 'u', 'last', 'me', 'no', 'morning', 'stop', 'right', 'thing', 'music', 'get', 'dy', 'party', 'away', 'year']"
Sweat - Remix,Snoop Dogg,David Guetta,spotify:track:6h89vMWcUdukHrlEPNHX9f,2011,0,False,196453,0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005,"['8th', 'glad', 'give', 'head', 'but—them', 'dollar', 'never', 'slide', 'holiday', 'floor', 'name', 'turn', 'hold', 'game', 'taste', 'up', 'flowin', 'wanna', 'doctor', 'you', 'plane', 'foot', 'n', 'coach', 'whatcha', 'ill', 'fix', 'big', 'down', 'like', 'apologize', 'snoop', 'slip', 'goin', 'come', 'i–i–i', 'another', 'way', 'jersey', 'inn', 'i', 'ocean', 'get', 'good', 'dip', 'girl', 'til', 'river', 'beach', 'got', 'bad', 'shuttin', 'babe', 'sweat', 'know', 'im', 'first', 'late', 'maid', 'say', 'rain', 'wipe', 'slip–i', 'draft', 'though', 'paper', 'lake', 'take', 'feel', 'meet', 'slip—i', 'damn', 'class', 'can–i', 'again', 'rough', 'let', 'make', 'can–you', 'dogg', 'bill']"
